日,曜,大会名(専用利用),個人利用a.m,個人利用p.m
,,,午前,午後
1.0,土,AM中体連総合体育大会PMU-11秋季サッカー大会,×,
2.0,日,ラグビースクール,×,
3.0,月,休場日,,
4.0,火,,○,
5.0,水,,○,
6.0,木,,○,
7.0,金,,○,
8.0,土,,○,
9.0,日,PM松村杯少年少女サッカー大会,〇,×
10.0,月,川崎市スポーツフェスタ,×,
11.0,火,休場日,,
12.0,水,スキルアップTR,〇,×
13.0,木,,○,
14.0,金,,○,
15.0,土,,○,
16.0,日,中原区民祭,×,
17.0,月,休場日,,
18.0,火,,○,
19.0,水,,○,
20.0,木,,○,
21.0,金,,○,
22.0,土,秋季市民陸上,×,
23.0,日,PM松村杯少年少女サッカー大会,〇,×
24.0,月,休場日,,
25.0,火,,○,
26.0,水,スキルアップTR,〇,×
27.0,木,,○,
28.0,金,フロンターレ準備,×,
29.0,土,フロンターレイベント,×,
30.0,日,,○,
31.0,月,休場日,,
